SearchText,ProductURL,Price,SearchB,Сходство продукта 1,продукта description 1,Бренд продукта 1,Рейтинг продукта 1,ID продукта 1,Цена продукта 1,Валюта цены продукта 1,URL изображения продукта 1,Сходство продукта 2,продукта description 2,Бренд продукта 2,Рейтинг продукта 2,ID продукта 2,Цена продукта 2,Валюта цены продукта 2,URL изображения продукта 2,Сходство продукта 3,продукта description 3,Бренд продукта 3,Рейтинг продукта 3,ID продукта 3,Цена продукта 3,Валюта цены продукта 3,URL изображения продукта 3
"Маска для лица Little Devil "" Moisture "" с гиалуроновой кислотой 23мл",https://goldapple.ru/19000097946-s-gialuronovoj-kislotoj-effekt-siania#,63,false,0,N/A,Elizavecca,N/A,99840100019,833,RUB,https://goldapple.ru/99840100019-jekstrakt-lastochkinogo-gnezda,0,N/A,DARLING*,N/A,19000007129,768,RUB,https://goldapple.ru/19000007129-mochi-skin,0,N/A,Mary&May,N/A,19000135245,2005,RUB,https://goldapple.ru/19000135245-rose-hyaluronic-hydra-wash-off-pack
Маска для лица Consly Pore Tightening Lychee с экстрактом личи 20мл,https://goldapple.ru/19760310833-lychee-pore-tightening-mask-pack#,60,false,0,N/A,CONSLY,4.2,19760310833,60,RUB,https://goldapple.ru/19760310833-lychee-pore-tightening-mask-pack,,,,,,,,,,,,,,,,
Маска для лица Tenzero Solution Calming Cica Sheet mask с экстрактом центеллы 25мл,https://goldapple.ru/19000158922-solution-calming-cica-sheet-mask#,46,true,8.536585365853659,N/A,Tenzero,4.6,19000158922,49,RUB,https://goldapple.ru/19000158922-solution-calming-cica-sheet-mask,8.536585365853659,N/A,Tenzero,5,19000158913,39,RUB,https://goldapple.ru/19000158913-cica-sheet-mask,8.536585365853659,N/A,Tenzero,4.8,19000158914,39,RUB,https://goldapple.ru/19000158914-coconut-sheet-mask
"Тканевая маска для лица Planeta Organica ""HYALURON THERAPY"", 30 г",https://goldapple.ru/19000166943-hyaluron-therapy#,97,false,24.615384615384617,N/A,Planeta Organica,5,19000166943,100,RUB,https://goldapple.ru/19000166943-hyaluron-therapy,24.615384615384617,N/A,Planeta Organica,5,19000166944,100,RUB,https://goldapple.ru/19000166944-oxygen-therapy,,,,,,,,
Увлажняющий бальзам для волос Planeta Organica Pure для чувствительной кожи 400мл,https://goldapple.ru/19000141629-pure-uvlaznausij#,231,false,19.753086419753085,N/A,Planeta Organica,4.4,19000141660,223,RUB,https://goldapple.ru/19000141660-pure-uvlaznausij,19.753086419753085,N/A,Planeta Organica,4.1,19000141659,223,RUB,https://goldapple.ru/19000141659-pure,19.753086419753085,N/A,Planeta Organica,N/A,19760305566,277,RUB,https://goldapple.ru/19760305566-hair-super-food-moisturizing
Мягкий бальзам для волос Planeta Organica Pure для ежедневного применения 400мл,https://goldapple.ru/19000141628-pure-magkij#,231,true,20.253164556962027,N/A,Planeta Organica,5,19000141628,220,RUB,https://goldapple.ru/19000141628-pure-magkij,20.253164556962027,N/A,Planeta Organica,4.5,19000141629,220,RUB,https://goldapple.ru/19000141629-pure-uvlaznausij,,,,,,,,
"Маска для лица Chamos Acaci кислородная , очищающая 25мл",https://goldapple.ru/19000048633-acaci#,247,true,10.714285714285714,N/A,Chamos,N/A,19000048633,356,RUB,https://goldapple.ru/19000048633-acaci,10.714285714285714,N/A,Chamos,N/A,65950200014,253,RUB,https://goldapple.ru/65950200014-dark-circle-thief-eye-patch,,,,,,,,
Основа под тени для век Relouis PRO Color Designer Eyeshadow Base 3г,https://goldapple.ru/19000068219-color-designer-eyeshadow-base#,230,true,10.294117647058822,N/A,Relouis,4.3,19000068219,183,RUB,https://goldapple.ru/19000068219-color-designer-eyeshadow-base,,,,,,,,,,,,,,,,
Маска для лица Tenzero Day 1 Mask Pack #Carrot Day с экстрактом моркови 25мл,https://goldapple.ru/19000158918-day-1-mask-pack-makgeolli-day#,48,true,9.210526315789473,N/A,Tenzero,5,19000158912,48,RUB,https://goldapple.ru/19000158912-day-1-mask-pack-cheongju-day,9.210526315789473,N/A,Tenzero,4.8,19000158914,39,RUB,https://goldapple.ru/19000158914-coconut-sheet-mask,9.210526315789473,N/A,Tenzero,5,19000158918,48,RUB,https://goldapple.ru/19000158918-day-1-mask-pack-makgeolli-day
"Питательная маска для лица Mond'Sub "" Avocado "" с авокадо 20мл",https://goldapple.ru/19000068143-avocado-nourishing-tendering-facial-mask#,55,true,0,N/A,Little Devil,5,19000030613,48,RUB,https://goldapple.ru/19000030613-nourishing-mask-with-avocado-extract,0,N/A,Name Skin Care,4.8,19000053531,300,RUB,https://goldapple.ru/19000053531-nutrition-softness-skin-clay-seaweed-mask-with-avocado,0,N/A,Mondsub,N/A,19000068143,55,RUB,https://goldapple.ru/19000068143-avocado-nourishing-tendering-facial-mask
"Маска для лица Little Devil "" Anti-age "" с муцином улитки 23мл",https://goldapple.ru/19000097945-s-mucinom-ulitki-protiv-morsin#,63,true,19.35483870967742,N/A,Little Devil,N/A,19000030607,88,RUB,https://goldapple.ru/19000030607-anti-aging-mask-with-papaya-extract,,,,,,,,,,,,,,,,
"Женский дезодорант - антиперспирант Repute "" Tact "" 50мл",https://goldapple.ru/19000188568-tact#,202,true,10.714285714285714,N/A,Repute,5,19000188568,202,RUB,https://goldapple.ru/19000188568-tact,10.714285714285714,N/A,Repute,3.2,19000188569,202,RUB,https://goldapple.ru/19000188569-pure,,,,,,,,
"Женский дезодорант - антиперспирант Repute "" Pure "" 50мл",https://goldapple.ru/19000188569-pure#,139,true,10.714285714285714,N/A,Repute,3.2,19000188569,202,RUB,https://goldapple.ru/19000188569-pure,,,,,,,,,,,,,,,,
"Тканевая маска для лица Planeta Organica ""УСПОКАИВАЮЩАЯ"", 30 г",https://goldapple.ru/19000141647-pure-uspokaivausaa#,103,true,25.806451612903224,N/A,Planeta Organica,4.5,19000141647,103,RUB,https://goldapple.ru/19000141647-pure-uspokaivausaa,25.806451612903224,N/A,Planeta Organica,5,19000141648,118,RUB,https://goldapple.ru/19000141648-pure-24-casa-uvlaznenia,,,,,,,,
Выравнивающая маска для лица Consly Radiance Papaya с экстрактом папайи 20мл,https://goldapple.ru/19760310836-papaya-radiance-mask-pack#,60,true,0,N/A,CONSLY,4.5,19760310836,60,RUB,https://goldapple.ru/19760310836-papaya-radiance-mask-pack,,,,,,,,,,,,,,,,
Увлажняющий шампунь для волос Planeta Organica Pure для чувствительной кожи 400мл,https://goldapple.ru/19000141660-pure-uvlaznausij#,194,true,19.753086419753085,N/A,Planeta Organica,4.4,19000141660,223,RUB,https://goldapple.ru/19000141660-pure-uvlaznausij,19.753086419753085,N/A,Planeta Organica,4.1,19000141659,223,RUB,https://goldapple.ru/19000141659-pure,19.753086419753085,N/A,Planeta Organica,N/A,19760305566,277,RUB,https://goldapple.ru/19760305566-hair-super-food-moisturizing
"Крем для лица Planeta Organica Pure "" питание и Молодость "" 50мл",https://goldapple.ru/97231200010-pure#,288,true,25,N/A,Planeta Organica,4.4,19000141632,210,RUB,https://goldapple.ru/19000141632-pure-uspokaivausij,25,N/A,Planeta Organica,4.6,19000141637,335,RUB,https://goldapple.ru/19000141637-pure-lipidovosstanavlivausij,25,N/A,Planeta Organica,4.6,19000141630,275,RUB,https://goldapple.ru/19000141630-pure-omolazivausij
"Шампунь для волос Alerana "" Плотность и Объем "" 250мл",https://goldapple.ru/19000026581-shampoo-density-and-volume#,418,true,0,N/A,RICH,N/A,19000068604,1250,RUB,https://goldapple.ru/19000068604-volumising-shampoo,0,N/A,Moroccanoil,N/A,24690100018,3050,RUB,https://goldapple.ru/24690100018-extra-volume-shampoo,0,N/A,Letique Cosmetics,N/A,19000166701,351,RUB,https://goldapple.ru/19000166701-ob-em-i-uplotnenie
"Тушь для ресниц Luxvisage 3D effect "" объём - длина - Ультра черная "" 10г",https://goldapple.ru/19000025884-3d-effect-ob-em-dlina#,246,true,0,N/A,LUXVISAGE,4.6,19000025871,293,RUB,https://goldapple.ru/19000025871-xxl-dlina-izgib-ob-em,0,N/A,LUXVISAGE,3.7,19000025885,233,RUB,https://goldapple.ru/19000025885-3d-effect-ob-em-razdelenie-izgib,0,N/A,LUXVISAGE,4.6,19000025884,233,RUB,https://goldapple.ru/19000025884-3d-effect-ob-em-dlina
"Крем Novosvit гиалуроновый - филлер для кожи вокруг глаз "" AquaFiller "" 20мл",https://goldapple.ru/19000002823-aquafiller#,135,true,0,N/A,NOVOSVIT,4,19000002823,138,RUB,https://goldapple.ru/19000002823-aquafiller,,,,,,,,,,,,,,,,
Подводка для век Luxvisage Matt Tattoo Waterproof 24H Черная,https://goldapple.ru/19000025922-matt-tattoo-waterproof-24h-smudgeproof#,249,true,0,N/A,LUXVISAGE,4.2,19000025922,281,RUB,https://goldapple.ru/19000025922-matt-tattoo-waterproof-24h-smudgeproof,0,N/A,LUXVISAGE,4.3,19000025923,327,RUB,https://goldapple.ru/19000025923-vinyl-line,,,,,,,,
Оттеночный бальзам для волос BlondEvolution Spicy Lavender 3 в 1 125мл,https://goldapple.ru/19000146907-spicy-lavender#,199,true,0,N/A,Blondevolution,N/A,19000146907,199,RUB,https://goldapple.ru/19000146907-spicy-lavender,0,N/A,Blondevolution,N/A,19000146906,166,RUB,https://goldapple.ru/19000146906-rose-bloom,0,N/A,Blondevolution,N/A,19000146904,166,RUB,https://goldapple.ru/19000146904-fresh-mint
Оттеночный бальзам для волос BlondEvolution Rose Bloom 3 в 1 125мл,https://goldapple.ru/19000146906-rose-bloom#,189,true,0,N/A,Blondevolution,N/A,19000146907,199,RUB,https://goldapple.ru/19000146907-spicy-lavender,0,N/A,Blondevolution,N/A,19000146906,166,RUB,https://goldapple.ru/19000146906-rose-bloom,0,N/A,Blondevolution,N/A,19000146904,166,RUB,https://goldapple.ru/19000146904-fresh-mint
"Очищающая пенка для лица Holika Holika Daily Garden "" Camellia "" с камелией 120мл",https://goldapple.ru/97571000019-daily-garden-kamelia#,436,true,16.049382716049383,N/A,Holika Holika,4.5,97571000019,393,RUB,https://goldapple.ru/97571000019-daily-garden-kamelia,16.049382716049383,N/A,Holika Holika,4.6,97571000016,393,RUB,https://goldapple.ru/97571000016-daily-garden-rice,16.049382716049383,N/A,Holika Holika,4.7,97571000018,393,RUB,https://goldapple.ru/97571000018-daily-garden-goheung
Green Mama Формула тайги очищающая пена - гель для лица ромашка и брусника 300мл,https://goldapple.ru/19000215080-romaska-i-brusnika#,347,true,0,N/A,GREEN MAMA,4.8,19000215080,368,RUB,https://goldapple.ru/19000215080-romaska-i-brusnika,0,N/A,GREEN MAMA,5,19000286601,262,RUB,https://goldapple.ru/19000286601-zelenyj-caj,0,N/A,GREEN MAMA,4.5,6060100034,215,RUB,https://goldapple.ru/6060100034-brusnika-i-chistotel
"Крем - гель для душа Milk "" Молоко и Апельсин "" 800мл",https://goldapple.ru/19000084316-moloko-i-apel-sin#,261,true,7.547169811320755,N/A,Milk,5,19000084316,261,RUB,https://goldapple.ru/19000084316-moloko-i-apel-sin,7.547169811320755,N/A,Milk,N/A,19000227215,257,RUB,https://goldapple.ru/19000227215-moloko-i-malina,,,,,,,,
Оттеночный бальзам Тоника для волос 4.62 Neon Pink 150мл,https://goldapple.ru/1671000001-color-evolution#,141,true,10.714285714285714,N/A,Тоника,5,1671000001,138,RUB,https://goldapple.ru/1671000001-color-evolution,,,,,,,,,,,,,,,,
Оттеночный бальзам Тоника для волос 9.10 Дымчатый топаз 150мл,https://goldapple.ru/1670100008-dymchatyj-topaz#,128,true,9.836065573770492,N/A,Тоника,4.2,1670100025,127,RUB,https://goldapple.ru/1670100025-korica,,,,,,,,,,,,,,,,
Оттеночный бальзам Тоника для волос 4.0 Шоколад 150мл,https://goldapple.ru/1670100025-korica#,128,true,11.320754716981133,N/A,Тоника,4.2,1670100025,127,RUB,https://goldapple.ru/1670100025-korica,,,,,,,,,,,,,,,,
Оттеночный бальзам Тоника для волос 3.22 Ultraviolet 150мл,https://goldapple.ru/19000089423-color-evolution-arkie-ottenki#,128,true,10.344827586206897,N/A,Тоника,N/A,19000089423,133,RUB,https://goldapple.ru/19000089423-color-evolution-arkie-ottenki,10.344827586206897,N/A,Тоника,N/A,1670100025,127,RUB,https://goldapple.ru/1670100025-korica,0,N/A,Artègo,N/A,19000026648,300,RUB,https://goldapple.ru/19000026648-lo-la-mask-almond
"Основа под макияж матирующая Luxvisage Prime Expert "" Matt & Sebum control "" Персиковый 35г",https://goldapple.ru/19000025965-prime-expert-matt-sebum-control#,242,true,0,N/A,LUXVISAGE,4.2,19000025965,249,RUB,https://goldapple.ru/19000025965-prime-expert-matt-sebum-control,0,N/A,LUXVISAGE,4.2,19000068200,250,RUB,https://goldapple.ru/19000068200-prime-expert-glow-skin,0,N/A,LUXVISAGE,4.2,19000025962,244,RUB,https://goldapple.ru/19000025962-prime-expert-pore-filler
"Основа под макияж маскирующая покраснения Luxvisage Prime Expert "" Anti Red "" 35г",https://goldapple.ru/19000025964-prime-expert-anti-red#,238,true,0,N/A,LUXVISAGE,4.2,19000068200,250,RUB,https://goldapple.ru/19000068200-prime-expert-glow-skin,0,N/A,LUXVISAGE,4.2,19000025965,249,RUB,https://goldapple.ru/19000025965-prime-expert-matt-sebum-control,0,N/A,LUXVISAGE,4.2,19000025962,244,RUB,https://goldapple.ru/19000025962-prime-expert-pore-filler
Экспресс пилинг для ног Skinlite 20г,https://goldapple.ru/19760329640-express-heel-peeling#,262,true,22.22222222222222,N/A,Skinlite,N/A,19760329640,262,RUB,https://goldapple.ru/19760329640-express-heel-peeling,0,N/A,Compliment,N/A,19000049517,413,RUB,https://goldapple.ru/19000049517-after-face-peeling,0,N/A,Aravia Laboratories,N/A,19760311237,356,RUB,https://goldapple.ru/19760311237-hydra-boost-mask
Мицеллярная вода для лица Green Mama для бережного и эффективного очищения 500мл,https://goldapple.ru/6060100095-dlja-berezhnogo-i-jeffektivnogo-ochischenija#,169,true,0,N/A,GREEN MAMA,4.4,6060100087,118,RUB,https://goldapple.ru/6060100087-dlja-snjatija-makijazha,0,N/A,GREEN MAMA,4.5,6060100052,193,RUB,https://goldapple.ru/6060100052-vasil-kovaja-voda-i-ovjos,,,,,,,,
Укрепляющий кондиционер для волос Concept Biotin Secrets 500мл,https://goldapple.ru/19000111292-biotin-secrets#,454,true,11.29032258064516,N/A,Concept,4,19000111292,406,RUB,https://goldapple.ru/19000111292-biotin-secrets,11.29032258064516,N/A,Concept,4,19000111294,532,RUB,https://goldapple.ru/19000111294-biotin-secrets,11.29032258064516,N/A,Concept,5,19000111293,398,RUB,https://goldapple.ru/19000111293-biotin-secrets
"Укрепляющий лак для ногтей Frenchi Умная эмаль 357 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,4.3,19000085145,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,,,,,,,,,,,,,,,,
"Укрепляющий лак для ногтей Frenchi Умная эмаль 387 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,N/A,19000085145,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,0,N/A,BERENICE,N/A,19000062970,427,RUB,https://goldapple.ru/19000062970-nekusajka,0,N/A,KIKI,N/A,19000052781,117,RUB,https://goldapple.ru/19000052781-gel-effect
Лак для ногтей Jeanmishel Crystal 708 Сиренево-серебристый блестящий 12мл,https://goldapple.ru/19000046800-crystal#,138,true,15.068493150684931,N/A,Jeanmishel ,3.9,19000046831,104,RUB,https://goldapple.ru/19000046831-formula,15.068493150684931,N/A,Jeanmishel ,4.5,19000046797,116,RUB,https://goldapple.ru/19000046797-crystal,,,,,,,,
"Укрепляющий лак для ногтей Frenchi Умная эмаль 300 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,N/A,13530800099,172,RUB,https://goldapple.ru/13530800099-treatment-nail-polish,0,N/A,FRENCHI,N/A,19000085145,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,0,N/A,BERENICE,N/A,19000062970,427,RUB,https://goldapple.ru/19000062970-nekusajka
"Укрепляющий лак для ногтей Frenchi Умная эмаль 365 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,N/A,19000085145,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,0,N/A,BERENICE,N/A,19000062970,427,RUB,https://goldapple.ru/19000062970-nekusajka,0,N/A,KIKI,N/A,19000052781,117,RUB,https://goldapple.ru/19000052781-gel-effect
"Укрепляющий лак для ногтей Frenchi Умная эмаль 379 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,N/A,19000085145,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,0,N/A,BERENICE,N/A,19000062970,427,RUB,https://goldapple.ru/19000062970-nekusajka,0,N/A,KIKI,N/A,19000052781,117,RUB,https://goldapple.ru/19000052781-gel-effect
Лак для ногтей Jeanmishel Crystal 707 Фиолетово-серебристый блестящий 12мл,https://goldapple.ru/19000046802-crystal#,116,true,14.864864864864865,N/A,Jeanmishel ,3.9,19000046831,104,RUB,https://goldapple.ru/19000046831-formula,14.864864864864865,N/A,Jeanmishel ,4.5,19000046797,116,RUB,https://goldapple.ru/19000046797-crystal,,,,,,,,
"Укрепляющий лак для ногтей Frenchi Умная эмаль 356 , 11мл",https://goldapple.ru/19000085158-treatment-nail-polish#,171,true,0,N/A,FRENCHI,4.2,19000085157,172,RUB,https://goldapple.ru/19000085157-treatment-nail-polish,,,,,,,,,,,,,,,,
Лак для ногтей Jeanmishel Crystal 727 Голубой блестящий 12мл,https://goldapple.ru/19000046808-crystal#,125,true,18.333333333333332,N/A,Jeanmishel ,4.5,19000046797,116,RUB,https://goldapple.ru/19000046797-crystal,,,,,,,,,,,,,,,,
"Активирующий крем Green Mama дневной - гидролифтинг для лица "" фиалка и алтей "" 100мл",https://goldapple.ru/19000255742-fialka-i-altej#,309,true,0,N/A,GREEN MAMA,5,19000255742,275,RUB,https://goldapple.ru/19000255742-fialka-i-altej,0,N/A,GREEN MAMA,4,6060100041,307,RUB,https://goldapple.ru/6060100041-ussurijskij-hmel-i-vitamin-e,,,,,,,,
"Увлажняющий крем для кожи вокруг глаз Nextbeau Hyaluronic Solution "" Ultra Moist Eye Cream "" с гиалуроновой кислотой 30мл",https://goldapple.ru/19000035120-hyaluronic-solution-ultra-moist-eye-cream#,403,true,0,N/A,NEXTBEAU,3.8,19000035118,418,RUB,https://goldapple.ru/19000035118-hyaluronic-solution-moist-peeling-gel,0,N/A,NEXTBEAU,N/A,19000035136,867,RUB,https://goldapple.ru/19000035136-hyaluronic-solution-moist-ampoule,0,N/A,NEXTBEAU,5,19000035127,708,RUB,https://goldapple.ru/19000035127-hyaluronic-solution-moist-lotion
