Code,List,Price,Сходство продукта 1,продукта description 1,Бренд продукта 1,Рейтинг продукта 1,ID продукта 1,Цена продукта 1,Валюта цены продукта 1,URL изображения продукта 1,Сходство продукта 2,продукта description 2,Бренд продукта 2,Рейтинг продукта 2,ID продукта 2,Цена продукта 2,Валюта цены продукта 2,URL изображения продукта 2,Сходство продукта 3,продукта description 3,Бренд продукта 3,Рейтинг продукта 3,ID продукта 3,Цена продукта 3,Валюта цены продукта 3,URL изображения продукта 3
1259625197,"Мужской дезодорант - антиперспирант Defance "" Silver protection "" 50мл",558,1.4285714285714286,N/A,Mennen Speed Stick,N/A,19000065686,365,RUB,https://goldapple.ru/19000065686-neutro-power,1.4285714285714286,N/A,NIVEA,N/A,19000154606,304,RUB,https://goldapple.ru/19000154606-black-and-white-invisible-original-men,1.4285714285714286,N/A,NIVEA,N/A,19000002958,264,RUB,https://goldapple.ru/19000002958-men-fresh-kick
1259625266,Восковые полоски Daen EcoDepil для депиляции лица 16шт,366,1.8518518518518516,N/A,Floresan,N/A,19000120627,111,RUB,https://goldapple.ru/19000120627-for-depilation-of-sensitive-skin,1.8518518518518516,N/A,BIO COSMETOLOG PROFESSIONAL,N/A,19000077511,138,RUB,https://goldapple.ru/19000077511-bio-cosmetolog-professional,1.8518518518518516,N/A,BIO COSMETOLOG PROFESSIONAL,N/A,19000077560,182,RUB,https://goldapple.ru/19000077560-bio-cosmetolog-professional
1259625321,Маска для волос Delicare Professional для всех типов волос 500мл,531,1.5625,N/A,Hair Company Professional,1,19000027629,1036,RUB,https://goldapple.ru/19000027629-double-action-hair-repair-mask,1.5625,N/A,ARAVIA Professional,N/A,19000300889,458,RUB,https://goldapple.ru/19000300889-s-malinovym-uksusom-i-keratinom,1.5625,N/A,Insight Professional,4.3,19760311147,1450,RUB,https://goldapple.ru/19760311147-dry-hair-nourishing-mask
1259625645,"Отбеливающая зубная паста D.I.E.S. "" Whitening Expert "" 100мл",294,1.639344262295082,N/A,Dental Clinic 2080,N/A,98260100007,302,RUB,https://goldapple.ru/98260100007-sijajuschaja-belizna,1.639344262295082,N/A,R.O.C.S.,N/A,13580100029,275,RUB,https://goldapple.ru/13580100029-sensational-whitening-extreme-fresh,1.639344262295082,N/A,BIOREPAIR,N/A,90060100001,829,RUB,https://goldapple.ru/90060100001-total-perfection
1259625834,"Жидкие тени для век Relouis PRO Satin Liquid Eyeshadow 26 , Rose? Yes! , 4,7г",399,2.5974025974025974,N/A,Relouis,4.8,19000078911,253,RUB,https://goldapple.ru/19000078911-pro-sparkle-liquid,2.5974025974025974,N/A,Relouis,4.4,19000078900,238,RUB,https://goldapple.ru/19000078900-pro-matte-liquid-eyeshadow,2.5974025974025974,N/A,Relouis,N/A,19000041627,263,RUB,https://goldapple.ru/19000041627-pro-satin-liquid
1259625866,"Механический карандаш для бровей Relouis Brow Wow 03 , 0,34г",369,0,N/A,Relouis,4.3,3422300003,293,RUB,https://goldapple.ru/3422300003-brow-wow,0,N/A,Relouis,4.9,19000287776,268,RUB,https://goldapple.ru/19000287776-mechanical-lip-pencil-artistic-contour,,,,,,,,
1259625857,"Механический карандаш для бровей Relouis Brow Wow 01 , 0,34г",369,0,N/A,Relouis,4.3,3422300003,293,RUB,https://goldapple.ru/3422300003-brow-wow,0,N/A,Relouis,4.9,19000287776,268,RUB,https://goldapple.ru/19000287776-mechanical-lip-pencil-artistic-contour,,,,,,,,
1259625916,"Компактный хайлайтер для лица Relouis PRO 01 , 5г",449,0,N/A,Relouis,4.9,3421900002,255,RUB,https://goldapple.ru/3421900002-pro,,,,,,,,,,,,,,,,
1259625984,"Чистящее средство для пола Ecologica "" антибактериальный эффект "" 1л",583,1.4705882352941175,N/A,Grass,4.7,19000082769,138,RUB,https://goldapple.ru/19000082769-cvetusij-lotos,1.4705882352941175,N/A,Grass,5,19000126079,138,RUB,https://goldapple.ru/19000126079-vodanaa-lilia,,,,,,,,
1259626258,"Женский дезодорант Carelax "" Fresh Water "" 150мл",365,2.083333333333333,N/A,Savonry,N/A,19760326690,413,RUB,https://goldapple.ru/19760326690-deo-fresh-rose-and-lime,2.083333333333333,N/A,Savonry,N/A,19760326692,386,RUB,https://goldapple.ru/19760326692-deo-fresh-without-fragrance,2.083333333333333,N/A,Exxe,N/A,19000213298,118,RUB,https://goldapple.ru/19000213298-fresh-spa
1259626333,Очищающая маска - стик для лица Meidian Eggplant с экстрактом зеленого чая 40г,635,2.564102564102564,N/A,SelfieLab,4,19760336280,180,RUB,https://goldapple.ru/19760336280-cleansing-mask,2.564102564102564,N/A,Doris,N/A,19000068120,70,RUB,https://goldapple.ru/19000068120-green-tea-essence-mask,,,,,,,,
1259626860,Ампульный крем для лица Lebelage глубоко увлажняющий 70мл,773,1.7543859649122806,N/A,Lebelage,N/A,89920100002,464,RUB,https://goldapple.ru/89920100002-s-jekstraktom-ikry,1.7543859649122806,N/A,SCINIC,N/A,19000113990,1359,RUB,https://goldapple.ru/19000113990-cicanoid-cream,1.7543859649122806,N/A,Farm Stay,N/A,99730300023,635,RUB,https://goldapple.ru/99730300023-snail-mucus-moisture-cream
1259626991,Одноразовые мужские станки для бритья Carelax Chrome 2+ с увлажняющей полоской 2 лезвия 7шт,256,1.098901098901099,N/A,Derby,N/A,19000125928,202,RUB,https://goldapple.ru/19000125928-derby-2,1.098901098901099,N/A,Kai Razor,N/A,19000108767,330,RUB,https://goldapple.ru/19000108767-s-dvuma-lezviami,1.098901098901099,N/A,Kai Razor,N/A,19000108769,388,RUB,https://goldapple.ru/19000108769-s-dvuma-lezviami
1259626980,Питательный лосьон для тела Delicare Perfect Body Therapy для сухой и очень сухой кожи 500мл,548,1.0869565217391304,N/A,Bio-Oil,N/A,19000218861,549,RUB,https://goldapple.ru/19000218861-dry-skin,1.0869565217391304,N/A,Caudalie,N/A,19000198661,2106,RUB,https://goldapple.ru/19000198661-smooth-glow-oil-elixir,1.0869565217391304,N/A,Sammy Beauty,N/A,19000106980,1316,RUB,https://goldapple.ru/19000106980-glowing-body-lotion
1259627056,Зубочистки Market Fresh в пластиковом диспенсере со слайдером 60шт,37,1.5151515151515151,N/A,Master House,N/A,19000315225,1509,RUB,https://goldapple.ru/19000315225-list-a-35h50h32-sm,1.5151515151515151,N/A,Master House,N/A,19000315223,512,RUB,https://goldapple.ru/19000315223-list-a-29h29h18-sm,1.5151515151515151,N/A,MARITI beauty ,N/A,19000029327,108,RUB,https://goldapple.ru/19000029327-acsessory
1259627101,"Гель для стирки LAVELiq Aroma 2 в 1 "" Весна "" 1,5л",770,2,N/A,AROMA DROP,4.6,19000064839,220,RUB,https://goldapple.ru/19000064839-aromatherapy-lavender-and-vanilla,2,N/A,AROMA DROP,4.5,19000064838,249,RUB,https://goldapple.ru/19000064838-aromatherapy-lotus-freshness,2,N/A,AROMA DROP,4.8,19000064840,249,RUB,https://goldapple.ru/19000064840-aromatherapy-jasmine-and-vetiver
1259627138,Женский станок для бритья Carelax Silk Touch c 1 кассетой,931,1.7543859649122806,N/A,DEONICA,N/A,40280400003,386,RUB,https://goldapple.ru/40280400003-for-men,1.7543859649122806,N/A,Gillette,N/A,1491400047,1099,RUB,https://goldapple.ru/1491400047-venus-embrace,1.7543859649122806,N/A,Gillette,N/A,1490600014,261,RUB,https://goldapple.ru/1490600014-simply-venus-2
1259627168,Мужские кассеты Carelax Energy 3шт,1001,2.941176470588235,N/A,Gillette,N/A,1493200020,1692,RUB,https://goldapple.ru/1493200020-fusion5-proglide,2.941176470588235,N/A,Gillette,N/A,1493200025,3023,RUB,https://goldapple.ru/1493200025-fusion5-proglide,2.941176470588235,N/A,Gillette,N/A,1493200017,986,RUB,https://goldapple.ru/1493200017-fusion5-proglide
1259627193,Пудра для объёмной укладки волос Valori Professional 10г,693,1.7857142857142856,N/A,JOICO,N/A,19000083207,5322,RUB,https://goldapple.ru/19000083207-hair-shake-liquid-to-powder-finishing-texturizer,1.7857142857142856,N/A,MONE PROFESSIONAL,N/A,19000128469,1917,RUB,https://goldapple.ru/19000128469-pumpkin-carrot-texturizing-powder,1.7857142857142856,N/A,L'Oreal Professionnel,N/A,24103800012,1124,RUB,https://goldapple.ru/24103800012-tecni-art-super-dust
1259627245,"Женский парфюмированный дезодорант Fawaris Premier "" Beautiful Mind "" 150мл",442,1.3333333333333335,N/A,M. Micallef,N/A,19000041124,10048,RUB,https://goldapple.ru/19000041124-travel-atomizer-set-secrets-of-love,1.3333333333333335,N/A,Kilian Paris,N/A,26720600008,22500,RUB,https://goldapple.ru/26720600008-flower-of-immortality,1.3333333333333335,N/A,ESSENTIAL PARFUMS PARIS,N/A,19000232227,3123,RUB,https://goldapple.ru/19000232227-discovery-set
1259627199,"Женский парфюмированный дезодорант Fawaris Premier "" Feast of Love "" 150мл",442,1.3513513513513513,N/A,M. Micallef,N/A,19000041124,10048,RUB,https://goldapple.ru/19000041124-travel-atomizer-set-secrets-of-love,1.3513513513513513,N/A,State Of Mind,N/A,19000125955,3987,RUB,https://goldapple.ru/19000125955-secret-of-success,1.3513513513513513,N/A,Vilhelm Parfumerie,N/A,19760305908,23375,RUB,https://goldapple.ru/19760305908-morning-chess
1259627314,"Женский парфюмированный дезодорант Fawaris Premier "" My girl "" 150мл",442,1.4705882352941175,N/A,Kilian Paris,N/A,26723600011,33065,RUB,https://goldapple.ru/26723600011-good-girl-gone-bad-extreme,1.4705882352941175,N/A,M. Micallef,N/A,19000041124,10048,RUB,https://goldapple.ru/19000041124-travel-atomizer-set-secrets-of-love,1.4705882352941175,N/A,Carolina Herrera,N/A,19000006048,7335,RUB,https://goldapple.ru/19000006048-very-good-girl
1259627413,"Карандаш для век BelorDesign Automatic Soft 302 , 0,21г",175,3.6363636363636362,N/A,Belor Design,4.5,19000088489,132,RUB,https://goldapple.ru/19000088489-automatic-soft,3.6363636363636362,N/A,Belor Design,3.8,19000088486,132,RUB,https://goldapple.ru/19000088486-automatic-soft,,,,,,,,
1259627477,"Маска для лица Little Devil "" Moisture "" с гиалуроновой кислотой 23мл",115,0,N/A,Elizavecca,N/A,99840100019,833,RUB,https://goldapple.ru/99840100019-jekstrakt-lastochkinogo-gnezda,0,N/A,Ansaligy,N/A,19000099580,1071,RUB,https://goldapple.ru/19000099580-face-lifting-patches-for-you-with-amber-granules-and-serum,0,N/A,Elizavecca,N/A,99840100045,688,RUB,https://goldapple.ru/99840100045-hell-pore-galactomyces
